sensor_type,device_type,timestamps,seconds_elapsed,lux
light,smartphone,1654706170077268000,955.6392680664062,73.980
light,smartphone,1654706170237267000,955.7992668457031,72.022
light,smartphone,1654706170397260500,955.9592604980469,73.980
light,smartphone,1654706170717270800,956.2792707519532,72.022
light,smartphone,1654706170877266200,956.4392661132813,72.968
light,smartphone,1654706171357260800,956.9192607421875,72.022
light,smartphone,1654706171517271300,957.0792712402343,72.968
light,smartphone,1654706171837266700,957.3992666015625,72.022
light,smartphone,1654706171997267700,957.5592678222656,72.968
light,smartphone,1654706172157268000,957.7192680664062,72.022
light,smartphone,1654706173117274600,958.6792746582031,72.968
light,smartphone,1654706173437268700,958.9992687988281,72.022
light,smartphone,1654706173757267000,959.3192668457032,72.968
light,smartphone,1654706174077260300,959.6392602539063,73.980
light,smartphone,1654706174237260000,959.7992600097656,72.968
light,smartphone,1654706174397273300,959.9592734375,72.022
light,smartphone,1654706174717268500,960.2792685546875,72.968
light,smartphone,1654706175357266000,960.9192658691406,72.022
light,smartphone,1654706175997268000,961.5592680664063,68.985
light,smartphone,1654706176157260800,961.7192607421875,69.998
light,smartphone,1654706176317267700,961.8792678222657,74.993
light,smartphone,1654706176477272000,962.0392719726563,95.985
light,smartphone,1654706176637266700,962.1992666015625,126.968
light,smartphone,1654706176797267500,962.3592673339843,230.985
light,smartphone,1654706176957277200,962.5192770996093,402.030
light,smartphone,1654706177117261800,962.67926171875,641.993
light,smartphone,1654706177277267000,962.8392668457032,781.988
light,smartphone,1654706177437267200,962.9992670898438,925.020
light,smartphone,1654706177597269500,963.15926953125,1028.025
light,smartphone,1654706177757268700,963.3192687988281,1030.995
light,smartphone,1654706177917270500,963.4792705078125,1023.975
light,smartphone,1654706178077260800,963.6392607421875,1071.968
light,smartphone,1654706178237266000,963.7992658691406,1051.988
light,smartphone,1654706178397273300,963.9592734375,1012.973
light,smartphone,1654706178557269200,964.1192692871093,925.020
light,smartphone,1654706178717268700,964.2792687988281,895.995
light,smartphone,1654706178877268700,964.4392687988282,886.005
light,smartphone,1654706179037264600,964.5992646484375,894.983
light,smartphone,1654706179197266200,964.7592661132812,898.020
light,smartphone,1654706179517274600,965.0792746582031,963.968
light,smartphone,1654706179677269200,965.2392692871093,1006.020
light,smartphone,1654706179837267000,965.3992668457031,1048.005
light,smartphone,1654706179997267700,965.5592678222656,1055.970
light,smartphone,1654706180157268000,965.7192680664062,1041.998
light,smartphone,1654706180317268500,965.8792685546875,963.968
light,smartphone,1654706180477266200,966.0392661132812,841.995
light,smartphone,1654706180637267200,966.1992670898437,726.030
light,smartphone,1654706180797269800,966.3592697753907,627.008
light,smartphone,1654706180957270300,966.5192702636718,505.980
light,smartphone,1654706181117265700,966.679265625,406.013
light,smartphone,1654706181277266400,966.8392663574218,378.000
light,smartphone,1654706181437267000,966.9992668457031,347.018
light,smartphone,1654706181597267500,967.1592673339844,336.015
light,smartphone,1654706181757260300,967.3192602539062,338.985
light,smartphone,1654706181917269200,967.4792692871093,335.003
light,smartphone,1654706182077266700,967.6392666015626,344.993
light,smartphone,1654706182237267000,967.7992668457031,343.980
light,smartphone,1654706182397267700,967.9592678222656,354.983
light,smartphone,1654706182557268500,968.1192685546876,244.013
light,smartphone,1654706182717269500,968.27926953125,81.000
light,smartphone,1654706182877266400,968.4392663574218,58.995
light,smartphone,1654706183037267000,968.5992668457031,56.970
