,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelRowing,labelSitting,labelCycling,labelStanding,labelRunning,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,grav_phone_x,grav_phone_y,grav_phone_z
2022-06-22 20:31:27.323286,2.3067184594961314,-0.007317093702463001,-0.10538705495687628,-0.18915075459517539,0.027071881896028143,-0.28782304061146885,1,0,0,0,0,30.982501983642575,-32.68350112915039,-8.36025037765503,14.254500579833984,9.392772564521202,-1.1412386481578534,-2.562898122347318
2022-06-22 20:31:27.573286,-0.5972766523007993,-0.16445124625331825,-0.020827681929976853,0.020602544942111882,0.25463728399740326,-0.22131404637669524,1,0,0,0,0,33.007500648498535,-30.946501159667967,-12.077250480651855,14.24250057220459,9.484016630384657,-0.20122114396481602,-2.4760462089821145
2022-06-22 20:31:27.823286,0.08232325773972732,0.1571029212612372,0.07491761904496413,0.3197700922878889,0.19191139313177422,-0.015048419067170471,1,0,0,0,0,37.49625205993652,-31.455751037597658,-13.160250587463379,13.175250511169434,9.648889651665321,-0.007081004047694688,-1.746372910646292
2022-06-22 20:31:28.073286,0.35598413760845476,-0.158252691420225,-0.5883550070799314,0.1391068326237683,0.2127982686775235,0.08159743862835547,1,0,0,0,0,29.970001220703125,-32.79675155639649,-12.467250633239747,14.225250549316407,9.693830893589901,-0.14008081833330485,-1.461082935333252
2022-06-22 20:31:28.323286,0.8207302827101487,0.9101197404357103,-1.6079497876075597,0.16247240991259998,0.8896012101501513,0.13503635961275834,1,0,0,0,0,17.482500553131104,-35.969251556396486,-10.562250328063964,10.05225040435791,9.76780656667856,-0.46775760558935314,0.0671499092848255
2022-06-22 20:31:28.573286,0.5673227663393374,0.24881725234014015,-1.7248195989264383,-0.14819975362883675,-0.6264333476967834,-0.19140429656814645,1,0,0,0,0,12.015000343322756,-37.28325149536133,-11.131500396728516,6.162000274658203,9.787985342520255,-0.03617019483957578,0.375413168773607
2022-06-22 20:31:28.823286,-1.070696995808528,0.9656316666648939,-1.4048857459655175,0.03434352308081893,-0.41939979032255137,-0.15915376936587003,1,0,0,0,0,12.015000343322754,-35.08200180053711,-11.534250450134277,12.655500526428222,9.666144371032715,0.11952928747408666,-1.6038515292681181
2022-06-22 20:31:29.073286,-0.8027042975792518,-0.2297083534873449,0.8485932235534375,-0.06495724799326406,0.27275699692276806,-0.06846384446208294,1,0,0,0,0,17.010000228881836,-34.224001770019534,-12.574500541687012,13.311750602722167,9.67044078386747,0.4378025669317979,-1.5423729878205519
2022-06-22 20:31:29.323286,-0.05315074214228877,-0.32389480261890974,0.2489799283168934,-0.04490704540296941,0.2716509997844696,0.15832710238518538,1,0,0,0,0,25.008750915527344,-35.012251739501956,-12.381000518798828,10.323750381469727,9.768613002918384,0.259220022018309,-0.7837846146689521
2022-06-22 20:31:29.573286,0.19552076779879057,-0.24225337717395562,0.1420147716999054,-0.08626703051133798,0.07614077151251528,-0.07201155952106301,1,0,0,0,0,32.501251220703125,-35.2755012512207,-11.715000457763672,7.5742502784729,9.799529185661903,0.19803404636107957,-0.3064769053688416
2022-06-22 20:31:29.823286,-0.2315044769873986,0.053353915277581945,0.09320884341230759,-0.16189678643758482,0.06167972143381261,0.10278974683919492,1,0,0,0,0,35.977500915527344,-35.727001342773434,-12.329250411987305,6.302250270843506,9.80374420606173,0.1468441471314201,-0.16206130356742784
2022-06-22 20:31:30.073286,-0.6520260704888238,-0.17076381402849047,0.1501003305117289,-0.15239662207939006,0.17677465228243144,0.08308892213325533,1,0,0,0,0,36.48375129699707,-35.429251708984374,-11.601000289916993,5.022000160217285,9.804549641079372,-0.05656073917311409,0.11548154628663151
2022-06-22 20:31:30.323286,-1.309632576428927,-0.9378159114947686,1.7030470944367921,-0.17315079737454653,-0.06179719475599436,0.37597552314400673,1,0,0,0,0,40.02750015258789,-36.10800155639649,-10.809750366210938,2.4202501010894775,9.772824360774113,-0.5888143038520446,0.4564423973743732
2022-06-22 20:31:30.573286,0.5601073595193716,-1.3520226707825294,1.5531876133038447,0.00013509516737450703,-0.09990576310799672,0.16931526981688177,1,0,0,0,0,39.993751525878906,-36.291751556396484,-7.904250316619873,2.9370001125335694,9.696645003098707,-1.4260795941719642,0.2781460895561255
2022-06-22 20:31:30.823286,1.9377961688571506,0.09419953602331656,0.25667846423608287,-0.09106127262391427,-0.08159852591860625,-0.3435548766067735,1,0,0,0,0,35.977500915527344,-35.49450149536133,-7.982250328063965,4.438500185012817,9.70650362085413,-1.3585822758851227,0.07760529669381126
2022-06-22 20:31:31.073286,0.0014977821936974158,-0.023562131019739006,-0.21491334587335587,0.1616031014575408,-0.12212009391245934,-0.20620210497425154,0,0,0,0,0,34.5262508392334,-34.2292514038086,-11.51850040435791,6.558750286102295,9.785553528712345,-0.534408871944134,-0.31093162642075467
2022-06-22 20:31:31.323286,0.47074215228740984,-0.07529282856446046,-0.0534690201569062,0.24310656207112166,0.1744430108139148,0.030954397476027504,0,0,0,0,0,30.982501983642575,-34.119751892089845,-12.338250503540038,7.928250370025634,9.799263293926533,-0.35538339385619533,-0.056853343141623415
2022-06-22 20:31:31.573286,0.5000315079322228,0.310297266795085,-0.5337264022001853,0.03907772459877798,1.1251013221649022,-0.029145300227145735,0,0,0,0,0,23.996251106262207,-36.40275161743164,-11.244000320434571,5.6280002784729,9.695946876819317,-0.46609026422867406,1.188902850334461
2022-06-22 20:31:31.823286,1.327753119998508,1.6052421932971035,-2.014729764726427,-0.20754413693039506,0.43935602020334313,-0.25370119349962034,0,0,0,0,0,18.02250099182129,-36.933751525878904,-12.224250526428223,-8.118750314712525,8.868138737148708,-0.12990658675078992,4.143732644893505
2022-06-22 20:31:32.073286,0.8550500869750977,0.32685148085539156,-0.5291035450421847,0.22480411268770695,-1.027809357413879,0.14711268507660583,0,0,0,0,0,25.98750114440918,-37.03200180053711,-12.643500556945801,-5.756250238418579,9.39012754880465,-0.009505809239971522,2.7168310422163744
2022-06-22 20:31:32.323286,-0.5036762127509484,0.22325241737640822,-0.7149411760843717,0.40372875734017444,-1.0382880316330836,-0.10719502416367714,0,0,0,0,0,19.507501125335693,-36.69975158691406,-12.469500579833984,5.868750228881836,9.772227397331825,0.23028960338650414,-0.14850029112914434
2022-06-22 20:31:32.573286,-0.9437276345712168,0.2561975805847733,-0.418582108285692,0.17724411326128542,-0.3998251369705907,0.009038536809384823,0,0,0,0,0,13.02750015258789,-33.808501434326175,-11.82900043487549,15.183000602722167,9.575672290943286,0.16928943715713643,-2.0834795104132757
2022-06-22 20:31:32.823286,-0.14030122756958008,-0.07099395087705208,0.17408266892799965,-0.1489746467425273,0.10713041061535478,0.056258296146272466,0,0,0,0,0,17.516250610351562,-33.45975128173828,-10.976250343322754,15.942000656127929,9.535235441648043,0.036317455138487276,-2.2881112098693848
2022-06-22 20:31:33.073286,-0.18439747737004206,-0.22814003492777163,0.8210868652050312,-0.14301871655222315,0.11039618785994557,0.01861962704704358,0,0,0,0,0,19.98000144958496,-33.51075134277344,-11.704500312805175,13.908000526428223,9.61048753444965,0.1223679780960083,-1.9458577999701867
2022-06-22 20:31:33.323286,-0.7059932991310403,-0.3331253644492891,0.6672114045531662,-0.2543997267364628,-0.14157639554253332,0.16471855659727697,0,0,0,0,0,28.01250171661377,-33.55425186157227,-11.751000328063965,12.77175048828125,9.603357103135851,0.019621603139158752,-1.978685701334918
2022-06-22 20:31:33.573286,-0.01715392332810622,-1.4106645790430217,1.9459669085649343,-0.1325400363868819,0.11071336756532009,0.16355904474487312,0,0,0,0,0,34.02000045776367,-33.48975112915039,-10.854000282287597,12.396750450134277,9.570743304032545,-0.3939042389392853,-2.0898765050447903
2022-06-22 20:31:33.823286,0.11245456108680138,-1.106791622363604,1.9745257313434894,-0.11872509370844525,0.4959928337484598,0.13272212241561368,0,0,0,0,0,,-34.28475173950196,-10.596750450134277,9.415500411987304,9.683416293217586,-0.821402941758816,-1.2353634398717146
2022-06-22 20:31:34.073286,1.6945265256441557,0.32097890285345226,0.14532465745623294,-0.255911225023178,0.32611369241315585,-0.26255438323558056,0,0,0,0,0,35.505001068115234,-34.32375137329102,-10.9050004196167,4.470750188827514,9.78299672787006,-0.6100212645072204,-0.02813830656500963
2022-06-22 20:31:34.323286,0.21812795709680627,-0.1522519654697842,-0.314368722891366,0.04020678048470506,-0.03331758495834139,-0.17530687886216953,0,0,0,0,0,38.00250244140625,-33.43650161743164,-14.042250595092774,4.345500192642212,9.804650447986743,-0.01981283986458072,0.049634219561186105
2022-06-22 20:31:34.573286,-0.08238031313969556,-0.3708424803156119,0.37810251346001256,-0.014079260854766918,0.5471645129414705,-0.14371768675314692,0,0,0,0,0,33.00749969482422,-33.468001251220706,-16.236000747680663,2.4682501018047334,9.722547971285307,0.42905959429649204,1.1113950696129065
2022-06-22 20:31:34.823286,0.7754826912513146,2.0949731090894113,-2.9180060029029846,-0.24570273840799928,0.0073949874450381006,-0.2592768577160314,0,0,0,0,0,31.9950008392334,-34.027501525878904,-17.754000854492187,-0.30075000926852224,9.673609806941105,0.8187918204527634,1.3651501903167138
2022-06-22 20:31:35.073286,-0.0007838143242730035,0.31518618596924675,-0.6549096626264078,-0.03454497008136025,-0.2298576658660615,0.2775022951817071,0,0,0,0,0,19.001250743865967,-34.311001739501954,-17.745000686645508,-0.03150000095367431,9.704669457894784,0.8579513287102735,1.0778800734767207
2022-06-22 20:31:35.323286,0.3272920021644005,0.8112334448557633,-0.22989494066972,-0.0013333301400192633,-0.2518231322129185,0.09772661758156923,0,0,0,0,0,11.002500534057617,-35.68425155639648,-15.225000610351563,1.19625004529953,9.783579679635855,0.22254926854601273,0.5852805209847597
2022-06-22 20:31:35.573286,-0.6579184532165527,-0.19308505608485296,0.29592520227799046,0.04448152872590491,-0.34841024703704393,-0.005251087964727328,0,0,0,0,0,11.508750438690186,-34.676251525878904,-15.509250602722169,5.304000244140625,9.775512621952938,0.4614643030441724,-0.5561870944041473
2022-06-22 20:31:35.823286,1.0839900970458984,-0.08934671017858717,1.0657712894457358,-0.13755486946966913,0.24015752926330874,0.04041888523432943,0,0,0,0,0,12.015000343322756,-34.91550170898437,-14.130000610351562,4.590000238418579,9.799863744665075,0.02853526154326068,-0.29534987129133056
2022-06-22 20:31:36.073286,-0.13107998554523176,-0.09864419125593622,-1.6531804547860072,0.15628153058843544,-0.41996366759905446,-0.11207019086354054,0,0,0,0,0,9.99000072479248,-34.722001495361326,-15.015750541687012,4.085250177383423,9.782278464390682,0.45775986864016605,-0.28373947798704297
